2048x2048 , 4194304 , ['sepia'] , ['asm'  '-j'  '2'] , 14389809
4096x4096 , 16777216 , ['sepia'] , ['asm'  '-j'  '2'] , 57355285
8192x8192 , 67108864 , ['sepia'] , ['asm'  '-j'  '2'] , 229785275
16x16 , 256 , ['ldr'] , ['c'  '-j'  '1'] , 24650
32x16 , 512 , ['ldr'] , ['c'  '-j'  '1'] , 23200
64x16 , 1024 , ['ldr'] , ['c'  '-j'  '1'] , 134873
128x16 , 2048 , ['ldr'] , ['c'  '-j'  '1'] , 116573
256x16 , 4096 , ['ldr'] , ['c'  '-j'  '1'] , 291380
512x16 , 8192 , ['ldr'] , ['c'  '-j'  '1'] , 462521
1024x16 , 16384 , ['ldr'] , ['c'  '-j'  '1'] , 957888
2048x16 , 32768 , ['ldr'] , ['c'  '-j'  '1'] , 1715700
4096x16 , 65536 , ['ldr'] , ['c'  '-j'  '1'] , 3325103
8192x16 , 131072 , ['ldr'] , ['c'  '-j'  '1'] , 6440453
16x16 , 256 , ['ldr'] , ['c'  '-j'  '1'] , 24650
16x32 , 512 , ['ldr'] , ['c'  '-j'  '1'] , 23044
16x64 , 1024 , ['ldr'] , ['c'  '-j'  '1'] , 49288
16x128 , 2048 , ['ldr'] , ['c'  '-j'  '1'] , 101829
16x256 , 4096 , ['ldr'] , ['c'  '-j'  '1'] , 206786
16x512 , 8192 , ['ldr'] , ['c'  '-j'  '1'] , 736750
16x1024 , 16384 , ['ldr'] , ['c'  '-j'  '1'] , 836882
16x2048 , 32768 , ['ldr'] , ['c'  '-j'  '1'] , 1572959
16x4096 , 65536 , ['ldr'] , ['c'  '-j'  '1'] , 3147031
16x8192 , 131072 , ['ldr'] , ['c'  '-j'  '1'] , 6292509
16x16 , 256 , ['ldr'] , ['c'  '-j'  '1'] , 24650
32x32 , 1024 , ['ldr'] , ['c'  '-j'  '1'] , 54359
64x64 , 4096 , ['ldr'] , ['c'  '-j'  '1'] , 413440
128x128 , 16384 , ['ldr'] , ['c'  '-j'  '1'] , 1437638
256x256 , 65536 , ['ldr'] , ['c'  '-j'  '1'] , 4353879
512x512 , 262144 , ['ldr'] , ['c'  '-j'  '1'] , 17002318
1024x1024 , 1048576 , ['ldr'] , ['c'  '-j'  '1'] , 68794091
2048x2048 , 4194304 , ['ldr'] , ['c'  '-j'  '1'] , 276504256
4096x4096 , 16777216 , ['ldr'] , ['c'  '-j'  '1'] , 1106796278
8192x8192 , 67108864 , ['ldr'] , ['c'  '-j'  '1'] , 4429169512
16x16 , 256 , ['ldr'] , ['c'  '-j'  '2'] , 9035
32x16 , 512 , ['ldr'] , ['c'  '-j'  '2'] , 17116
64x16 , 1024 , ['ldr'] , ['c'  '-j'  '2'] , 95800
128x16 , 2048 , ['ldr'] , ['c'  '-j'  '2'] , 120490
256x16 , 4096 , ['ldr'] , ['c'  '-j'  '2'] , 223038
512x16 , 8192 , ['ldr'] , ['c'  '-j'  '2'] , 411862
1024x16 , 16384 , ['ldr'] , ['c'  '-j'  '2'] , 680603
2048x16 , 32768 , ['ldr'] , ['c'  '-j'  '2'] , 1317426
4096x16 , 65536 , ['ldr'] , ['c'  '-j'  '2'] , 4684297
8192x16 , 131072 , ['ldr'] , ['c'  '-j'  '2'] , 5599078
16x16 , 256 , ['ldr'] , ['c'  '-j'  '2'] , 9035
16x32 , 512 , ['ldr'] , ['c'  '-j'  '2'] , 18476
16x64 , 1024 , ['ldr'] , ['c'  '-j'  '2'] , 38589
16x128 , 2048 , ['ldr'] , ['c'  '-j'  '2'] , 264656
16x256 , 4096 , ['ldr'] , ['c'  '-j'  '2'] , 160124
16x512 , 8192 , ['ldr'] , ['c'  '-j'  '2'] , 320412
16x1024 , 16384 , ['ldr'] , ['c'  '-j'  '2'] , 600612
16x2048 , 32768 , ['ldr'] , ['c'  '-j'  '2'] , 2088525
16x4096 , 65536 , ['ldr'] , ['c'  '-j'  '2'] , 2410559
16x8192 , 131072 , ['ldr'] , ['c'  '-j'  '2'] , 4835841
16x16 , 256 , ['ldr'] , ['c'  '-j'  '2'] , 9035
32x32 , 1024 , ['ldr'] , ['c'  '-j'  '2'] , 40271
64x64 , 4096 , ['ldr'] , ['c'  '-j'  '2'] , 285725
128x128 , 16384 , ['ldr'] , ['c'  '-j'  '2'] , 934084
256x256 , 65536 , ['ldr'] , ['c'  '-j'  '2'] , 3159691
512x512 , 262144 , ['ldr'] , ['c'  '-j'  '2'] , 13301033
1024x1024 , 1048576 , ['ldr'] , ['c'  '-j'  '2'] , 48932422
2048x2048 , 4194304 , ['ldr'] , ['c'  '-j'  '2'] , 195617244
4096x4096 , 16777216 , ['ldr'] , ['c'  '-j'  '2'] , 831849478
8192x8192 , 67108864 , ['ldr'] , ['c'  '-j'  '2'] , 3330858271
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '1'] , 28662
32x16 , 512 , ['ldr'] , ['asm'  '-j'  '1'] , 58516
64x16 , 1024 , ['ldr'] , ['asm'  '-j'  '1'] , 287071
128x16 , 2048 , ['ldr'] , ['asm'  '-j'  '1'] , 392636
256x16 , 4096 , ['ldr'] , ['asm'  '-j'  '1'] , 561103
512x16 , 8192 , ['ldr'] , ['asm'  '-j'  '1'] , 1201725
1024x16 , 16384 , ['ldr'] , ['asm'  '-j'  '1'] , 2109556
2048x16 , 32768 , ['ldr'] , ['asm'  '-j'  '1'] , 4510597
4096x16 , 65536 , ['ldr'] , ['asm'  '-j'  '1'] , 8525418
8192x16 , 131072 , ['ldr'] , ['asm'  '-j'  '1'] , 16987522
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '1'] , 28662
16x32 , 512 , ['ldr'] , ['asm'  '-j'  '1'] , 62335
16x64 , 1024 , ['ldr'] , ['asm'  '-j'  '1'] , 133697
16x128 , 2048 , ['ldr'] , ['asm'  '-j'  '1'] , 376832
16x256 , 4096 , ['ldr'] , ['asm'  '-j'  '1'] , 560771
16x512 , 8192 , ['ldr'] , ['asm'  '-j'  '1'] , 1129494
16x1024 , 16384 , ['ldr'] , ['asm'  '-j'  '1'] , 3408266
16x2048 , 32768 , ['ldr'] , ['asm'  '-j'  '1'] , 4541521
16x4096 , 65536 , ['ldr'] , ['asm'  '-j'  '1'] , 8514534
16x8192 , 131072 , ['ldr'] , ['asm'  '-j'  '1'] , 17058896
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '1'] , 28662
32x32 , 1024 , ['ldr'] , ['asm'  '-j'  '1'] , 145497
