64x64 ,4096, ['sepia'] , ['asm'  '-j'  '2'] ,26383
128x128 ,16384, ['sepia'] , ['asm'  '-j'  '2'] ,101613
256x256 ,65536, ['sepia'] , ['asm'  '-j'  '2'] ,250612
512x512 ,262144, ['sepia'] , ['asm'  '-j'  '2'] ,733971
1024x1024 ,1048576, ['sepia'] , ['asm'  '-j'  '2'] ,3161181
2048x2048 ,4194304, ['sepia'] , ['asm'  '-j'  '2'] ,12802011
4096x4096 ,16777216, ['sepia'] , ['asm'  '-j'  '2'] ,51152475
8192x8192 ,67108864, ['sepia'] , ['asm'  '-j'  '2'] ,204137541
16x16 ,256, ['ldr'] , ['c'  '-j'  '1'] ,19938
32x16 ,512, ['ldr'] , ['c'  '-j'  '1'] ,28628
64x16 ,1024, ['ldr'] , ['c'  '-j'  '1'] ,118288
128x16 ,2048, ['ldr'] , ['c'  '-j'  '1'] ,242756
256x16 ,4096, ['ldr'] , ['c'  '-j'  '1'] ,212382
512x16 ,8192, ['ldr'] , ['c'  '-j'  '1'] ,428472
1024x16 ,16384, ['ldr'] , ['c'  '-j'  '1'] ,860130
2048x16 ,32768, ['ldr'] , ['c'  '-j'  '1'] ,1759371
4096x16 ,65536, ['ldr'] , ['c'  '-j'  '1'] ,3523116
8192x16 ,131072, ['ldr'] , ['c'  '-j'  '1'] ,7050432
16x16 ,256, ['ldr'] , ['c'  '-j'  '1'] ,19938
16x32 ,512, ['ldr'] , ['c'  '-j'  '1'] ,55316
16x64 ,1024, ['ldr'] , ['c'  '-j'  '1'] ,52521
16x128 ,2048, ['ldr'] , ['c'  '-j'  '1'] ,243400
16x256 ,4096, ['ldr'] , ['c'  '-j'  '1'] ,214434
16x512 ,8192, ['ldr'] , ['c'  '-j'  '1'] ,432135
16x1024 ,16384, ['ldr'] , ['c'  '-j'  '1'] ,867414
16x2048 ,32768, ['ldr'] , ['c'  '-j'  '1'] ,1738212
16x4096 ,65536, ['ldr'] , ['c'  '-j'  '1'] ,3478866
16x8192 ,131072, ['ldr'] , ['c'  '-j'  '1'] ,6958380
16x16 ,256, ['ldr'] , ['c'  '-j'  '1'] ,19938
32x32 ,1024, ['ldr'] , ['c'  '-j'  '1'] ,129847
64x64 ,4096, ['ldr'] , ['c'  '-j'  '1'] ,256806
128x128 ,16384, ['ldr'] , ['c'  '-j'  '1'] ,1092051
256x256 ,65536, ['ldr'] , ['c'  '-j'  '1'] ,4499985
512x512 ,262144, ['ldr'] , ['c'  '-j'  '1'] ,18578136
1024x1024 ,1048576, ['ldr'] , ['c'  '-j'  '1'] ,75004575
2048x2048 ,4194304, ['ldr'] , ['c'  '-j'  '1'] ,301820445
4096x4096 ,16777216, ['ldr'] , ['c'  '-j'  '1'] ,1208283570
8192x8192 ,67108864, ['ldr'] , ['c'  '-j'  '1'] ,4834445802
16x16 ,256, ['ldr'] , ['c'  '-j'  '2'] ,20592
32x16 ,512, ['ldr'] , ['c'  '-j'  '2'] ,44872
