16x2048 , 32768 , ['sepia'] , ['c'] , 536599
16x4096 , 65536 , ['sepia'] , ['c'] , 1072785
16x8192 , 131072 , ['sepia'] , ['c'] , 2148106
16x16 , 256 , ['sepia'] , ['c'] , 4243
32x32 , 1024 , ['sepia'] , ['c'] , 16320
64x64 , 4096 , ['sepia'] , ['c'] , 64634
128x128 , 16384 , ['sepia'] , ['c'] , 258130
256x256 , 65536 , ['sepia'] , ['c'] , 1033105
512x512 , 262144 , ['sepia'] , ['c'] , 4134486
1024x1024 , 1048576 , ['sepia'] , ['c'] , 16694480
2048x2048 , 4194304 , ['sepia'] , ['c'] , 67735481
4096x4096 , 16777216 , ['sepia'] , ['c'] , 271307437
8192x8192 , 67108864 , ['sepia'] , ['c'] , 1085948486
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '1'] , 4320
32x16 , 512 , ['sepia'] , ['asm'  '-j'  '1'] , 8640
64x16 , 1024 , ['sepia'] , ['asm'  '-j'  '1'] , 17259
128x16 , 2048 , ['sepia'] , ['asm'  '-j'  '1'] , 34460
256x16 , 4096 , ['sepia'] , ['asm'  '-j'  '1'] , 28489
512x16 , 8192 , ['sepia'] , ['asm'  '-j'  '1'] , 57431
1024x16 , 16384 , ['sepia'] , ['asm'  '-j'  '1'] , 114320
2048x16 , 32768 , ['sepia'] , ['asm'  '-j'  '1'] , 229081
4096x16 , 65536 , ['sepia'] , ['asm'  '-j'  '1'] , 459177
8192x16 , 131072 , ['sepia'] , ['asm'  '-j'  '1'] , 918412
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '1'] , 4320
16x32 , 512 , ['sepia'] , ['asm'  '-j'  '1'] , 8628
16x64 , 1024 , ['sepia'] , ['asm'  '-j'  '1'] , 17238
16x128 , 2048 , ['sepia'] , ['asm'  '-j'  '1'] , 34456
16x256 , 4096 , ['sepia'] , ['asm'  '-j'  '1'] , 28847
16x512 , 8192 , ['sepia'] , ['asm'  '-j'  '1'] , 57651
16x1024 , 16384 , ['sepia'] , ['asm'  '-j'  '1'] , 115336
16x2048 , 32768 , ['sepia'] , ['asm'  '-j'  '1'] , 231375
16x4096 , 65536 , ['sepia'] , ['asm'  '-j'  '1'] , 463736
16x8192 , 131072 , ['sepia'] , ['asm'  '-j'  '1'] , 927627
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '1'] , 4320
32x32 , 1024 , ['sepia'] , ['asm'  '-j'  '1'] , 17206
64x64 , 4096 , ['sepia'] , ['asm'  '-j'  '1'] , 28533
128x128 , 16384 , ['sepia'] , ['asm'  '-j'  '1'] , 114326
256x256 , 65536 , ['sepia'] , ['asm'  '-j'  '1'] , 459076
512x512 , 262144 , ['sepia'] , ['asm'  '-j'  '1'] , 1845508
1024x1024 , 1048576 , ['sepia'] , ['asm'  '-j'  '1'] , 7481185
2048x2048 , 4194304 , ['sepia'] , ['asm'  '-j'  '1'] , 30673834
4096x4096 , 16777216 , ['sepia'] , ['asm'  '-j'  '1'] , 122711286
8192x8192 , 67108864 , ['sepia'] , ['asm'  '-j'  '1'] , 492760750
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '2'] , 1639
32x16 , 512 , ['sepia'] , ['asm'  '-j'  '2'] , 3135
64x16 , 1024 , ['sepia'] , ['asm'  '-j'  '2'] , 6261
128x16 , 2048 , ['sepia'] , ['asm'  '-j'  '2'] , 13378
256x16 , 4096 , ['sepia'] , ['asm'  '-j'  '2'] , 18803
512x16 , 8192 , ['sepia'] , ['asm'  '-j'  '2'] , 37858
1024x16 , 16384 , ['sepia'] , ['asm'  '-j'  '2'] , 75360
2048x16 , 32768 , ['sepia'] , ['asm'  '-j'  '2'] , 150915
4096x16 , 65536 , ['sepia'] , ['asm'  '-j'  '2'] , 302362
8192x16 , 131072 , ['sepia'] , ['asm'  '-j'  '2'] , 604522
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '2'] , 1639
16x32 , 512 , ['sepia'] , ['asm'  '-j'  '2'] , 3392
16x64 , 1024 , ['sepia'] , ['asm'  '-j'  '2'] , 6675
16x128 , 2048 , ['sepia'] , ['asm'  '-j'  '2'] , 13461
16x256 , 4096 , ['sepia'] , ['asm'  '-j'  '2'] , 18960
16x512 , 8192 , ['sepia'] , ['asm'  '-j'  '2'] , 37795
16x1024 , 16384 , ['sepia'] , ['asm'  '-j'  '2'] , 75629
16x2048 , 32768 , ['sepia'] , ['asm'  '-j'  '2'] , 152095
16x4096 , 65536 , ['sepia'] , ['asm'  '-j'  '2'] , 304948
16x8192 , 131072 , ['sepia'] , ['asm'  '-j'  '2'] , 609680
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '2'] , 1639
32x32 , 1024 , ['sepia'] , ['asm'  '-j'  '2'] , 6537
64x64 , 4096 , ['sepia'] , ['asm'  '-j'  '2'] , 18800
128x128 , 16384 , ['sepia'] , ['asm'  '-j'  '2'] , 75274
256x256 , 65536 , ['sepia'] , ['asm'  '-j'  '2'] , 302610
512x512 , 262144 , ['sepia'] , ['asm'  '-j'  '2'] , 1218696
1024x1024 , 1048576 , ['sepia'] , ['asm'  '-j'  '2'] , 5022921
2048x2048 , 4194304 , ['sepia'] , ['asm'  '-j'  '2'] , 20938945
4096x4096 , 16777216 , ['sepia'] , ['asm'  '-j'  '2'] , 85229425
8192x8192 , 67108864 , ['sepia'] , ['asm'  '-j'  '2'] , 341404030
16x16 , 256 , ['ldr'] , ['c'  '-j'  '1'] , 18800
32x16 , 512 , ['ldr'] , ['c'  '-j'  '1'] , 43778
64x16 , 1024 , ['ldr'] , ['c'  '-j'  '1'] , 93674
128x16 , 2048 , ['ldr'] , ['c'  '-j'  '1'] , 193333
256x16 , 4096 , ['ldr'] , ['c'  '-j'  '1'] , 391624
512x16 , 8192 , ['ldr'] , ['c'  '-j'  '1'] , 790299
1024x16 , 16384 , ['ldr'] , ['c'  '-j'  '1'] , 1586192
2048x16 , 32768 , ['ldr'] , ['c'  '-j'  '1'] , 3181129
4096x16 , 65536 , ['ldr'] , ['c'  '-j'  '1'] , 6368883
8192x16 , 131072 , ['ldr'] , ['c'  '-j'  '1'] , 12773099
16x16 , 256 , ['ldr'] , ['c'  '-j'  '1'] , 18800
16x32 , 512 , ['ldr'] , ['c'  '-j'  '1'] , 43885
16x64 , 1024 , ['ldr'] , ['c'  '-j'  '1'] , 94157
16x128 , 2048 , ['ldr'] , ['c'  '-j'  '1'] , 194136
16x256 , 4096 , ['ldr'] , ['c'  '-j'  '1'] , 395013
16x512 , 8192 , ['ldr'] , ['c'  '-j'  '1'] , 797600
16x1024 , 16384 , ['ldr'] , ['c'  '-j'  '1'] , 1597369
16x2048 , 32768 , ['ldr'] , ['c'  '-j'  '1'] , 3202026
16x4096 , 65536 , ['ldr'] , ['c'  '-j'  '1'] , 6408199
16x8192 , 131072 , ['ldr'] , ['c'  '-j'  '1'] , 12824933
16x16 , 256 , ['ldr'] , ['c'  '-j'  '1'] , 18800
32x32 , 1024 , ['ldr'] , ['c'  '-j'  '1'] , 102344
64x64 , 4096 , ['ldr'] , ['c'  '-j'  '1'] , 469775
128x128 , 16384 , ['ldr'] , ['c'  '-j'  '1'] , 2008015
256x256 , 65536 , ['ldr'] , ['c'  '-j'  '1'] , 8279043
512x512 , 262144 , ['ldr'] , ['c'  '-j'  '1'] , 33650966
1024x1024 , 1048576 , ['ldr'] , ['c'  '-j'  '1'] , 136133171
2048x2048 , 4194304 , ['ldr'] , ['c'  '-j'  '1'] , 546736350
4096x4096 , 16777216 , ['ldr'] , ['c'  '-j'  '1'] , 2190567283
8192x8192 , 67108864 , ['ldr'] , ['c'  '-j'  '1'] , 9318624353
16x16 , 256 , ['ldr'] , ['c'  '-j'  '2'] , 15514
32x16 , 512 , ['ldr'] , ['c'  '-j'  '2'] , 34154
64x16 , 1024 , ['ldr'] , ['c'  '-j'  '2'] , 73336
128x16 , 2048 , ['ldr'] , ['c'  '-j'  '2'] , 150975
256x16 , 4096 , ['ldr'] , ['c'  '-j'  '2'] , 313636
512x16 , 8192 , ['ldr'] , ['c'  '-j'  '2'] , 627917
1024x16 , 16384 , ['ldr'] , ['c'  '-j'  '2'] , 1257739
2048x16 , 32768 , ['ldr'] , ['c'  '-j'  '2'] , 2531882
4096x16 , 65536 , ['ldr'] , ['c'  '-j'  '2'] , 5432050
8192x16 , 131072 , ['ldr'] , ['c'  '-j'  '2'] , 11207899
16x16 , 256 , ['ldr'] , ['c'  '-j'  '2'] , 15514
16x32 , 512 , ['ldr'] , ['c'  '-j'  '2'] , 34160
16x64 , 1024 , ['ldr'] , ['c'  '-j'  '2'] , 70803
16x128 , 2048 , ['ldr'] , ['c'  '-j'  '2'] , 144205
16x256 , 4096 , ['ldr'] , ['c'  '-j'  '2'] , 290969
16x512 , 8192 , ['ldr'] , ['c'  '-j'  '2'] , 584391
16x1024 , 16384 , ['ldr'] , ['c'  '-j'  '2'] , 1169926
16x2048 , 32768 , ['ldr'] , ['c'  '-j'  '2'] , 2345253
16x4096 , 65536 , ['ldr'] , ['c'  '-j'  '2'] , 4689387
16x8192 , 131072 , ['ldr'] , ['c'  '-j'  '2'] , 9387618
16x16 , 256 , ['ldr'] , ['c'  '-j'  '2'] , 15514
32x32 , 1024 , ['ldr'] , ['c'  '-j'  '2'] , 75588
64x64 , 4096 , ['ldr'] , ['c'  '-j'  '2'] , 342213
128x128 , 16384 , ['ldr'] , ['c'  '-j'  '2'] , 1450782
256x256 , 65536 , ['ldr'] , ['c'  '-j'  '2'] , 6121917
512x512 , 262144 , ['ldr'] , ['c'  '-j'  '2'] , 24761600
1024x1024 , 1048576 , ['ldr'] , ['c'  '-j'  '2'] , 103023114
2048x2048 , 4194304 , ['ldr'] , ['c'  '-j'  '2'] , 401435132
4096x4096 , 16777216 , ['ldr'] , ['c'  '-j'  '2'] , 1757237973
8192x8192 , 67108864 , ['ldr'] , ['c'  '-j'  '2'] , 7069208722
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '1'] , 41837
32x16 , 512 , ['ldr'] , ['asm'  '-j'  '1'] , 98204
64x16 , 1024 , ['ldr'] , ['asm'  '-j'  '1'] , 201357
128x16 , 2048 , ['ldr'] , ['asm'  '-j'  '1'] , 416332
256x16 , 4096 , ['ldr'] , ['asm'  '-j'  '1'] , 881973
512x16 , 8192 , ['ldr'] , ['asm'  '-j'  '1'] , 1711526
1024x16 , 16384 , ['ldr'] , ['asm'  '-j'  '1'] , 3436865
